Grupo;05,15,25,23;1,0,0,0,0,0,0,0;12.00;0.00
Milhar e Centena;5318,5059,1900,1989;1,0,0,0,0,0,0,0;4.00;0.00
Milhar e Centena;1981;1,0,0,0,0,0,0,0;4.00;0.00
Milhar e Centena;1981;1,1,1,1,1,1,1,0;6.00;0.00
Milhar e Centena;5792;1,0,0,0,0,0,0,0;4.00;0.00
Milhar e Centena;5792;1,1,1,1,1,1,1,0;6.00;0.00
Milhar e Centena;5570,3461,6944;1,0,0,0,0,0,0,0;3.00;0.00
Milhar e Centena;5570,3461,6944;1,0,0,0,0,0,0,0;3.00;0.00
Duque de Dezena;70,61,44;1,0,0,0,0,0,0,0;9.00;0.00
Duque de Dezena;00,04,20;1,0,0,0,0,0,0,0;20.00;0.00
Milhar e Centena;0004,0400;1,0,0,0,0,0,0,0;4.00;0.00
Milhar e Centena;0004,0400;1,1,1,1,1,0,0,0;4.00;0.00
Duque de Dezena;00,04;1,0,0,0,0,0,0,0;2.00;0.00
Milhar e Centena;5797,5798,5799,5800;1,0,0,0,0,0,0,0;6.00;0.00
Milhar e Centena;5797,5798,5799,5800;1,1,1,1,1,0,0,0;6.00;0.00
Milhar;5797,5798,5799,5800;1,0,0,0,0,0,0,0;6.00;0.00
Centena;797,798,799,800;0,0,0,0,0,1,1,0;6.00;0.00
Duque de Dezena;97,98,99,00;1,0,0,0,0,0,0,0;10.00;0.00
Dezena;97,98,99,00;1,0,0,0,0,0,0,0;10.00;0.00
Grupo;25;1,0,0,0,0,0,0,0;10.00;0.00
Milhar e Centena;1169;1,0,0,0,0,0,0,0;2.00;0.00
Milhar e Centena;1169;1,1,1,1,1,0,0,0;2.00;0.00
Duque de Dezena;11,69;1,0,0,0,0,0,0,0;1.00;0.00
Dezeninha;69,70,71,72,13,14,15,16,17,18,19,20,33,34,35,36,57,58,59,60;0,1,1,0,0,0,0,0;6.00;0.00
Dezeninha;69,70,71,72,13,14,15,16,17,18,19,20,33,34,35,36,57,58,59,60;1,0,0,0,0,0,0,0;4.00;0.00
Duque de Dezena;38,28;1,0,0,0,0,0,0,0;4.00;0.00
Milhar e Centena;0721;1,1,1,1,1,1,1,0;3.00;0.00
Duque de Dezena;07,21;1,0,0,0,0,0,0,0;3.00;0.00
Dezena;21;1,0,0,0,0,0,0,0;3.00;0.00
Pv;02,06;1,0,0,0,0,0,0,0;3.00;0.00
Milhar e Centena;0721;1,0,0,0,0,0,0,0;4.00;0.00
Milhar;8636;1,0,0,0,0,0,0,0;2.00;0.00
Milhar e Centena;7320;1,0,0,0,0,0,0,0;1.00;0.00
Milhar e Centena;9136,1903,1992,4860,2301,2306,1991,3309,1105,5365,2147;1,0,0,0,0,0,0,0;5.50;0.00
Duque de Dezena;36,60;1,0,0,0,0,0,0,0;1.50;0.00
Duque de Dezena;36,60,48;1,0,0,0,0,0,0,0;1.00;0.00
Duque de Dezena;19,03,36,78;1,0,0,0,0,0,0,0;1.00;0.00
Milhar;4774;1,0,0,0,0,0,0,0;5.00;0.00
Milhar;4774;1,1,1,1,1,0,0,0;5.00;0.00
Milhar e Centena;4774;1,0,0,0,0,0,0,0;12.00;0.00
Centena;774;1,0,0,0,0,0,0,0;13.00;0.00
Centena;774;1,1,1,1,1,1,1,0;7.00;0.00
Duque de Dezena;47,74;1,0,0,0,0,0,0,0;8.00;0.00
Milhar e Centena;1986;1,0,0,0,0,0,0,0;3.00;0.00
Milhar e Centena;1986;1,1,1,1,1,1,1,0;3.00;0.00
Centena;959;1,1,1,1,1,0,0,0;3.00;0.00
Duque de Dezena;22,64;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;03,98,31;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;08,70;1,0,0,0,0,0,0,0;2.00;0.00
Milhar e Centena;9045;1,0,0,0,0,0,0,0;1.00;0.00
Milhar e Centena;9045;1,1,1,1,1,0,0,0;2.00;0.00
Duque de Dezena;14,45,46,47,48;1,0,0,0,0,0,0,0;10.00;0.00
Terno de Dezena;14,45,46,47,48;1,0,0,0,0,0,0,0;1.00;0.00
Centena;193,893;1,0,0,0,0,0,0,0;2.50;0.00
Centena;193,893;1,1,1,1,1,1,1,0;10.50;0.00
Centena;499;1,0,0,0,0,0,0,0;15.00;0.00
Grupo;05,13,18;1,0,0,0,0,0,0,0;30.00;0.00
Dezena;19,20,49,52,69,72;1,0,0,0,0,0,0,0;6.00;0.00
Duque de Dezena;19,52,69,98;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;19,20,49,52;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;70,14;1,0,0,0,0,0,0,0;5.00;0.00
Duque de Dezena;70,13;1,0,0,0,0,0,0,0;5.00;0.00
Milhar e Centena;4319;1,0,0,0,0,0,0,0;0.40;0.00
Milhar e Centena;4319;1,1,1,1,1,1,1,0;0.60;0.00
Duque de Dezena;17,18,19,20;1,0,0,0,0,0,0,0;4.00;0.00
Duque de Dezena;17,18,50,51;1,0,0,0,0,0,0,0;5.00;0.00
Duque de Dezena;01,05,33,57,59,93,99;1,0,0,0,0,0,0,0;10.50;0.00
Duque de Dezena;05,59;1,0,0,0,0,0,0,0;4.50;0.00
Duque de Dezena;11,66,67,99,00;1,0,0,0,0,0,0,0;6.00;0.00
Dezeninha;81,82,83,84,45,46,47,48,73,74,75,76,17,18,19,20,57,58,59,60;0,1,0,0,0,0,0,0;4.00;0.00
Dezeninha;81,82,83,84,45,46,47,48,73,74,75,76,17,18,19,20,57,58,59,60;0,0,1,0,0,0,0,0;1.00;0.00
Grupo;21;1,0,0,0,0,0,0,0;30.00;0.00
Dezeninha;69,70,71,72,61,62,63,64,01,02,03,04,65,66,67,68,09,10,11,12;1,0,0,0,0,0,0,0;4.00;0.00
Dezeninha;69,70,71,72,61,62,63,64,01,02,03,04,65,66,67,68,09,10,11,12;0,1,0,0,0,0,0,0;5.00;0.00
Dezeninha;69,70,71,72,61,62,63,64,01,02,03,04,65,66,67,68,09,10,11,12;0,0,1,0,0,0,0,0;1.00;0.00
Grupo;20,10,07,09,12;1,0,0,0,0,0,0,0;10.00;36.00
Terno de Grupo;12,18,19;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;20,47;1,0,0,0,0,0,0,0;1.00;0.00
Milhar e Centena;1892;1,1,1,1,1,0,0,0;1.00;0.00
Milhar e Centena;1892;1,0,0,0,0,0,0,0;1.00;0.00
Milhar;1314;1,0,0,0,0,0,0,0;1.00;0.00
Milhar e Centena;1314;1,1,1,1,1,0,0,0;1.00;0.00
Terno de Grupo;04,12,16;1,0,0,0,0,0,0,0;2.00;0.00
Milhar e Centena;7564,3454,7138;1,0,0,0,0,0,0,0;3.00;0.00
Milhar e Centena;7564,3454,7138;1,1,1,1,1,1,1,0;3.00;0.00
Milhar e Centena;2535,7477;1,0,0,0,0,0,0,0;6.00;0.00
Milhar e Centena;2535,7477;1,1,1,1,1,0,0,0;3.00;0.00
Terno de Dezena;35,47,77;1,0,0,0,0,0,0,0;2.00;0.00
Milhar e Centena;0608;1,0,0,0,0,0,0,0;8.00;0.00
Milhar e Centena;0608;1,1,1,1,1,1,1,0;6.00;0.00
Duque de Dezena;06,08;1,0,0,0,0,0,0,0;6.00;0.00
Duque de Dezena;46,47,02,03;1,0,0,0,0,0,0,0;10.00;0.00
Duque de Dezena;33,19,42,25;1,0,0,0,0,0,0,0;5.00;0.00
Grupo;15,23,24;1,0,0,0,0,0,0,0;15.00;0.00
Duque de Dezena;60,92,96;1,0,0,0,0,0,0,0;10.00;0.00
Milhar e Centena;3100;1,0,0,0,0,0,0,0;5.00;0.00
Milhar e Centena;3100;1,1,1,1,1,1,1,0;6.00;0.00
Milhar;3100;1,0,0,0,0,0,0,0;3.00;0.00
Milhar e Centena;4476;1,0,0,0,0,0,0,0;2.00;0.00
Milhar e Centena;4476;1,1,1,1,1,0,0,0;2.00;0.00
Duque de Dezena;31,00,76;1,0,0,0,0,0,0,0;5.00;0.00
Terno de Dezena;31,00,76;1,0,0,0,0,0,0,0;2.00;0.00
Milhar e Centena;6317;1,0,0,0,0,0,0,0;4.00;0.00
Milhar e Centena;6317;1,1,1,1,1,1,1,0;3.00;0.00
Milhar;6317;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;63,17;1,0,0,0,0,0,0,0;3.00;0.00
Terno de Grupo;15,14,09;1,0,0,0,0,0,0,0;5.00;0.00
Terno de Grupo;15,14,09,12,05;1,0,0,0,0,0,0,0;5.00;0.00
Milhar e Centena;1454,1646,1991,2304,3622;1,0,0,0,0,0,0,0;5.00;0.00
Grupo;01;1,0,0,0,0,0,0,0;8.00;0.00
Centena;266;1,0,0,0,0,0,0,0;2.00;0.00
Centena;266;1,1,1,1,1,0,0,0;2.00;0.00
Centena;266;0,0,0,0,0,1,1,0;2.00;0.00
Duque de Dezena;61,63,66,68;1,0,0,0,0,0,0,0;5.00;0.00
Duque de Dezena;52,29;1,0,0,0,0,0,0,0;5.00;0.00
Duque de Dezena;28,22;1,0,0,0,0,0,0,0;5.00;0.00
Duque de Dezena;45,26,75;1,0,0,0,0,0,0,0;10.00;0.00
Duque de Dezena;20,10,01;1,0,0,0,0,0,0,0;30.00;0.00
Terno de Dezena;20,10,01;1,0,0,0,0,0,0,0;10.00;0.00
Duque de Dezena;61,64;1,0,0,0,0,0,0,0;10.00;0.00
Duque de Dezena;27,49;1,0,0,0,0,0,0,0;10.00;0.00
Centena;195,614,413;1,0,0,0,0,0,0,0;6.00;0.00
Centena;195,614,413;1,1,1,1,1,1,1,0;4.20;0.00
Duque de Dezena;95,14,13,56;1,0,0,0,0,0,0,0;9.80;0.00
Dezeninha;41,42,43,44,53,54,55,56,65,66,67,68,93,94,95,96,97,98,99,00;1,0,0,0,0,0,0,0;5.00;0.00
Dezeninha;41,42,43,44,53,54,55,56,65,66,67,68,93,94,95,96,97,98,99,00;0,1,0,0,0,0,0,0;3.00;0.00
Dezeninha;41,42,43,44,53,54,55,56,65,66,67,68,93,94,95,96,97,98,99,00;0,0,1,0,0,0,0,0;2.00;0.00
Dezeninha;45,46,47,48,57,58,59,60,61,62,63,64,85,86,87,88,89,90,91,92;1,0,0,0,0,0,0,0;5.00;0.00
Dezeninha;45,46,47,48,57,58,59,60,61,62,63,64,85,86,87,88,89,90,91,92;0,1,0,0,0,0,0,0;3.00;0.00
Dezeninha;45,46,47,48,57,58,59,60,61,62,63,64,85,86,87,88,89,90,91,92;0,0,1,0,0,0,0,0;2.00;0.00
Duque de Dezena;76,24,50;1,0,0,0,0,0,0,0;10.00;0.00
Milhar e Centena;2450,7650,1976;1,0,0,0,0,0,0,0;10.00;0.00
Duque de Dezena;19,61;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;22,33;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;72,96;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;55,68;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;91,98;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;53,66;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;53,96;1,0,0,0,0,0,0,0;2.00;0.00
Duque de Dezena;59,83;1,0,0,0,0,0,0,0;2.00;0.00
Milhar e Centena;8380;1,0,0,0,0,0,0,0;1.00;0.00
Milhar e Centena;8380;1,1,1,1,1,0,0,0;1.00;0.00
Duque de Dezena;83,80;1,0,0,0,0,0,0,0;2.00;0.00
Dezeninha;17,18,19,20,33,34,35,36,53,54,55,56,61,62,63,64,89,90,91,92;1,0,0,0,0,0,0,0;4.00;0.00
Dezeninha;17,18,19,20,33,34,35,36,53,54,55,56,61,62,63,64,89,90,91,92;0,1,0,0,0,0,0,0;3.00;0.00
Dezeninha;17,18,19,20,33,34,35,36,53,54,55,56,61,62,63,64,89,90,91,92;0,0,1,0,0,0,0,0;3.00;0.00
Milhar;8837;1,1,1,1,1,0,0,0;3.50;0.00
Duque de Dezena;31,95;1,0,0,0,0,0,0,0;1.50;0.00
Duque de Dezena;45,69;1,0,0,0,0,0,0,0;2.00;0.00
Centena;701,702,703,704;1,0,0,0,0,0,0,0;4.00;0.00
Centena;701,702,703,704;1,1,1,1,1,0,0,0;4.00;0.00
Milhar e Centena;0125;1,0,0,0,0,0,0,0;1.00;0.00
Milhar e Centena;0125;1,1,1,1,1,1,1,0;1.00;0.00
Milhar e Centena;5394,3520,6615;1,1,1,1,1,0,0,0;17.00;0.00
Centena;394,520,615;0,0,0,0,0,0,1,0;3.00;0.00
Milhar e Centena;2099,1034,9146;1,0,0,0,0,0,0,0;3.00;0.00
Milhar e Centena;2099,1034,9146;1,1,1,1,1,1,1,0;3.00;0.00
Grupo;12;1,0,0,0,0,0,0,0;3.00;54.00
Duque de Dezena;91,46;1,0,0,0,0,0,0,0;1.00;0.00
Milhar e Centena;2788;1,0,0,0,0,0,0,0;1.00;0.00
Milhar e Centena;2788;1,1,1,1,1,0,0,0;2.00;0.00
Duque de Dezena;27,88;1,0,0,0,0,0,0,0;1.00;0.00
Duque de Dezena;67,38;1,0,0,0,0,0,0,0;20.00;0.00
Duque de Dezena;67,38,86,21;1,0,0,0,0,0,0,0;12.00;0.00
Duque de Dezena;86,21;1,0,0,0,0,0,0,0;3.00;0.00
Milhar e Centena;8621;1,0,0,0,0,0,0,0;2.00;0.00
Milhar e Centena;8621;1,1,1,1,1,1,1,0;3.00;0.00
Milhar;8621;1,0,0,0,0,0,0,0;1.00;0.00
Milhar;8621;1,1,1,1,1,0,0,0;2.00;0.00
Terno de Grupo;06,17,22,10;1,0,0,0,0,0,0,0;17.00;0.00
Milhar e Centena;7443;1,1,1,1,1,0,0,0;20.00;0.00
Duque de Dezena;03,77,25;1,0,0,0,0,0,0,0;10.00;0.00
Milhar e Centena;1985;1,0,0,0,0,0,0,0;1.00;0.00
Milhar e Centena;1985;1,1,1,1,1,0,0,0;1.00;0.00
Duque de Dezena;19,85;1,0,0,0,0,0,0,0;1.00;0.00
Duque de Dezena;87,59;1,0,0,0,0,0,0,0;3.00;0.00
Duque de Dezena;10,13;1,0,0,0,0,0,0,0;1.00;0.00
Duque de Grupo;18,15;1,0,0,0,0,0,0,0;3.00;0.00
Duque de Grupo;09,15;1,0,0,0,0,0,0,0;3.00;0.00
Duque de Grupo;24,18;1,0,0,0,0,0,0,0;3.00;0.00
Duque de Dezena;12,40;1,0,0,0,0,0,0,0;5.00;0.00
Duque de Dezena;36,09;1,0,0,0,0,0,0,0;5.00;0.00
Duque de Dezena;42,79;1,0,0,0,0,0,0,0;5.00;0.00
Dezeninha;16,09,25,26,27,28,30,32,44,45,46,57,58,59,60,67,81,90,95,97;1,1,1,0,0,0,0,0;3.00;0.00
Dezeninha;09,16,26,28,30,35,45,57,58,59,60,32,46,67,68,81,95,90,97,99;1,1,1,0,0,0,0,0;3.00;0.00
Dezeninha;09,10,11,12,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32;1,1,1,0,0,0,0,0;3.00;0.00
Dezeninha;09,11,12,10,17,18,19,20,25,26,27,28,29,30,31,32,57,58,59,60;1,1,1,0,0,0,0,0;3.00;0.00
Dezeninha;09,10,11,12,17,18,19,20,61,62,63,64,65,66,67,68,93,94,95,96;1,1,1,0,0,0,0,0;3.00;0.00
Dezeninha;01,02,03,04,13,14,15,16,41,42,43,44,77,78,79,80,97,98,99,00;1,1,1,0,0,0,0,0;3.00;0.00
Dezeninha;42,90,25,32,28,46,45,44,59,60,58,57,30,34,99,97,16,81,80,67;1,1,1,0,0,0,0,0;3.00;0.00
Dezeninha;45,71,62,44,32,53,83,18,46,59,60,25,16,15,17,80,78,58,57,95;1,1,1,0,0,0,0,0;3.00;0.00
Milhar e Centena;3228,2832,5946,4659,2560,1880,6890,7844,2342,6025;1,0,0,0,0,0,0,0;3.00;0.00
Milhar e Centena;3228,2832,5946,4659,2560,1880,6890,7844,2342,6025;1,1,1,1,1,1,1,0;3.00;0.00
Milhar;3228,2832,5946,4659,2560,1880,6890,7844,2342,6025;1,0,0,0,0,0,0,0;3.00;0.00
Duque de Dezena;46,25;1,0,0,0,0,0,0,0;4.00;0.00
Centena;346,373,474,916,374,175,575,591,592,773;1,1,1,1,1,0,0,0;5.00;0.00
Centena;346,373,474,916,374,175,575,591,592,773;1,0,0,0,0,0,0,0;5.00;0.00
Centena;346,373,474,916,374,175,575,591,592,773;1,1,1,1,1,0,0,0;0.50;0.00
Centena;238;1,0,0,0,0,0,0,0;1.00;0.00
Centena;238;1,1,1,1,1,1,1,0;1.00;0.00
